Player,Team,Age,GP,Win,Lose,Minutes,Points,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,Rebound,Assist,Turnover,Steal,Block,PF,+/-
Terry Rozier,BOS,25,7,5,2,19.2,7,2.1,6.4,33.3,1,3.7,26.9,1.7,2.3,75,0.6,4,4.6,2.3,1.3,0.6,0.1,2.1,5.3
Thabo Sefolosha,UTA,35,4,1,3,10.5,1.3,0.5,3.5,14.3,0.3,2,12.5,0,0,0,0.3,1.8,2,0.5,0.3,0,0,0.8,-3.3
Thaddeus Young,IND,30,4,0,4,32.6,10.5,4.5,10.5,42.9,0.5,2,25,1,1.8,57.1,2.3,4.8,7,3.8,1.3,2.8,0.8,2.5,-1
Theo Pinson,BKN,23,3,0,3,7.3,3,1,2.7,37.5,1,2.3,42.9,0,0,0,0,1,1,1,0.3,0.7,0,0,6.3
Thon Maker,DET,22,4,0,4,17.1,5.5,1.8,6.5,26.9,0,3,0,2,2.3,88.9,1,1.3,2.3,1,0.8,0,1,3.5,-9
Tim Frazier,MIL,28,7,6,1,4.1,1.9,0.9,1.4,60,0.1,0.4,33.3,0,0,0,0,1,1,1,0.3,0.1,0,0.7,-2
Tobias Harris,PHI,26,8,6,2,35.9,15.5,5.9,13.3,44.3,1.9,4.3,44.1,1.9,2.3,83.3,1,8.9,9.9,4.5,1.6,1,0.5,2.3,11.9
Tony Snell,MIL,27,5,4,1,4,1,0.4,1,40,0.2,0.4,50,0,0,0,0,0,0,0,0,0.2,0,0.4,-3.2
Torrey Craig,DEN,28,10,5,5,23,6.3,2.3,4.7,48.9,1.3,2.6,50,0.4,1,40,1.3,3.8,5.1,0.9,0.5,0.6,0.3,2.7,0.9
Treveon Graham,BKN,25,5,1,4,15.7,1.4,0.4,2,20,0,1.4,0,0.6,1.2,50,0.4,1.6,2,0.6,0.6,0.6,0.2,2,-0.2
Trey Lyles,DEN,23,2,0,2,2.8,0,0,1.5,0,0,0.5,0,0,0,0,0.5,0,0.5,1,0,0,0,0.5,2.5
Tyreke Evans,IND,29,4,0,4,21,15.3,5.3,12,43.8,2.8,5,55,2,3.5,57.1,0,4.3,4.3,0.8,1.5,0.8,0.3,2,-5.5
Tyrone Wallace,LAC,24,2,0,2,5.5,2,0.5,2,25,0,0,0,1,1.5,66.7,0,0.5,0.5,1.5,0.5,0,0,1,4.5
Wayne Ellington,DET,31,4,0,4,32.8,7.8,2.8,8.8,31.4,1.8,5.5,31.8,0.5,0.5,100,0.8,3,3.8,1.3,0.5,0.8,0,1,-20.8
Wes Iwundu,ORL,24,5,1,4,12,4.8,1.2,3.6,33.3,0.6,1.8,33.3,1.8,1.8,100,0,1.4,1.4,0.8,0.4,0.6,0,0.8,1.2
Wesley Matthews,IND,32,4,0,4,29.7,7,2.3,7.5,30,1.8,5.3,33.3,0.8,0.8,100,0,2.5,2.5,2,2,0.8,0.3,1.5,-3.5
Will Barton,DEN,28,10,5,5,22.7,9.1,3.3,9.5,34.7,0.9,3.6,25,1.6,2.4,66.7,1.2,4,5.2,1.6,1.3,0.3,0.9,1.1,-3.5
Wilson Chandler,LAC,31,4,1,3,13.1,3.8,1.3,4,31.3,0.3,2.5,10,1,1,100,0,1.5,1.5,0.5,0.8,0.5,0,1.8,2
Zach Collins,POR,21,8,6,2,15.4,5.8,2.5,4.1,60.6,0.3,0.8,33.3,0.5,0.6,80,0.9,2.9,3.8,0.8,1.6,0.6,0.8,3.3,-2.9
Zaza Pachulia,DET,35,2,0,2,10.9,2.5,1,3,33.3,0,0,0,0.5,1,50,0.5,4,4.5,0,0.5,0,0,1.5,0.5
Zhaire Smith,PHI,19,2,0,2,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,6
