TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,OFFRTG,DEFRTG,PACE
Golden State Warriors,82,67,15,0.817,3946,9016,3410,7137,47.8,883,2217,39.8,1313,1709,76.8,853,2814,3667,2248,1185,762,496,293,1628,1541,828,110.4,100.4,99.29
Atlanta Hawks,82,60,22,0.732,3946,8409,3121,6699,46.6,818,2152,38,1349,1735,77.8,715,2611,3326,2111,1167,744,380,404,1457,1611,445,108.2,102.2,94.66
Houston Rockets,82,56,26,0.683,3961,8522,3032,6832,44.4,933,2680,34.8,1525,2133,71.5,958,2624,3582,1820,1366,777,407,437,1803,1730,282,106,102.6,97.38
Los Angeles Clippers,82,56,26,0.683,3946,8751,3228,6830,47.3,827,2202,37.6,1468,2067,71,784,2711,3495,2031,1012,640,409,245,1749,1766,540,111.5,104.7,95.41
Memphis Grizzlies,82,55,27,0.671,3981,8062,3097,6763,45.8,423,1246,33.9,1445,1869,77.3,856,2634,3490,1777,1094,700,347,424,1567,1662,266,104.7,101.2,92.85
San Antonio Spurs,82,55,27,0.671,3991,8461,3208,6854,46.8,677,1847,36.7,1368,1754,78,806,2772,3578,2000,1146,657,444,362,1564,1613,508,107.6,101.3,94.48
Cleveland Cavaliers,82,53,29,0.646,3956,8457,3089,6739,45.8,826,2253,36.7,1453,1934,75.1,911,2612,3523,1814,1171,603,340,368,1510,1685,367,110.1,105.3,93.23
Portland Trail Blazers,82,51,31,0.622,3971,8429,3175,7049,45,807,2231,36.2,1272,1589,80.1,879,2881,3760,1799,1117,525,372,297,1494,1534,347,107.1,102.8,95.08
Chicago Bulls,82,50,32,0.61,3976,8265,3001,6797,44.2,645,1825,35.3,1618,2067,78.3,959,2792,3751,1781,1145,514,476,443,1495,1736,246,106.3,103.3,93.81
Dallas Mavericks,82,50,32,0.61,3976,8628,3255,7036,46.3,732,2082,35.2,1386,1843,75.2,858,2608,3466,1846,1062,663,371,314,1644,1816,238,108.2,104.9,96.41
Toronto Raptors,82,49,33,0.598,3971,8527,3108,6829,45.5,726,2060,35.2,1585,2014,78.7,881,2526,3407,1701,1057,615,357,413,1712,1668,252,110.2,107.1,93.5
Washington Wizards,82,46,36,0.561,3991,8080,3139,6790,46.2,497,1381,36,1305,1758,74.2,862,2801,3663,1969,1233,601,378,350,1707,1610,59,103,102.3,94.33
New Orleans Pelicans,82,45,37,0.549,3956,8147,3108,6795,45.7,586,1583,37,1345,1790,75.1,942,2621,3563,1806,1087,553,510,475,1530,1533,65,107.1,106.3,92.29
Oklahoma City Thunder,82,45,37,0.549,3966,8524,3184,7119,44.7,632,1864,33.9,1524,2020,75.4,1052,2844,3896,1681,1205,598,454,377,1829,1675,179,106.7,104.6,96.64
Milwaukee Bucks,82,41,41,0.5,3986,8023,3083,6722,45.9,545,1500,36.3,1312,1734,75.7,876,2574,3450,1932,1373,789,403,392,1814,1649,35,101.9,101.3,94.85
Boston Celtics,82,40,42,0.488,3976,8312,3193,7211,44.3,660,2021,32.7,1266,1678,75.4,910,2685,3595,2009,1133,674,294,431,1738,1545,13,103.8,103.5,96.74
Phoenix Suns,82,39,43,0.476,3976,8397,3178,7038,45.2,698,2048,34.1,1343,1767,76,896,2643,3539,1659,1238,700,385,337,1744,1664,-74,104.2,105.3,97.22
Brooklyn Nets,82,38,44,0.463,3986,8038,3069,6804,45.1,541,1633,33.1,1359,1817,74.8,846,2627,3473,1716,1133,576,340,372,1579,1641,-236,103.3,106.3,93.72
Indiana Pacers,82,38,44,0.463,3971,7981,2998,6824,43.9,612,1740,35.2,1373,1817,75.6,856,2822,3678,1757,1147,505,375,386,1742,1754,23,102.9,102.7,93.7
