TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,OFFRTG,DEFRTG,PACE
Golden State Warriors,82,73,9,0.89,3976,9421,3489,7159,48.7,1077,2592,41.6,1366,1790,76.3,816,2972,3788,2373,1245,689,498,336,1701,1627,882,113.4,102.8,100.27
San Antonio Spurs,82,67,15,0.817,3941,8490,3289,6797,48.4,570,1518,37.5,1342,1672,80.3,770,2831,3601,2010,1071,677,485,317,1433,1597,872,109.3,98.2,94.54
Cleveland Cavaliers,82,57,25,0.695,3971,8555,3171,6888,46,880,2428,36.2,1333,1783,74.8,873,2777,3650,1861,1114,551,317,362,1666,1690,492,110.2,103.9,93.84
Toronto Raptors,82,56,26,0.683,3956,8422,3006,6669,45.1,708,1915,37,1702,2190,77.7,836,2724,3560,1536,1073,636,449,442,1610,1801,369,109.3,104.8,93.36
Oklahoma City Thunder,82,55,27,0.671,3966,9038,3372,7082,47.6,678,1945,34.9,1616,2067,78.2,1071,2916,3987,1883,1305,603,487,373,1691,1653,597,112.1,104.8,97.55
LA Clippers,82,53,29,0.646,3966,8569,3141,6759,46.5,797,2190,36.4,1490,2152,69.2,721,2727,3448,1873,1063,709,460,259,1746,1842,351,107.2,102.6,96.83
Atlanta Hawks,82,48,34,0.585,3966,8433,3168,6923,45.8,815,2326,35,1282,1638,78.3,679,2772,3451,2100,1226,747,486,411,1570,1500,296,104.6,100.7,97.69
Boston Celtics,82,48,34,0.585,3956,8669,3216,7318,43.9,717,2142,33.5,1520,1929,78.8,950,2733,3683,1981,1127,752,348,450,1796,1718,263,105.8,102.5,99.44
Charlotte Hornets,82,48,34,0.585,3971,8479,3036,6922,43.9,873,2410,36.2,1534,1941,79,734,2869,3603,1778,1029,595,438,448,1487,1670,223,106.4,103.7,96.27
Miami Heat,82,48,34,0.585,3966,8204,3150,6697,47,498,1480,33.6,1406,1889,74.4,807,2811,3618,1709,1155,553,531,337,1502,1608,135,105.4,103.7,94.16
Indiana Pacers,82,45,37,0.549,3976,8377,3142,6985,45,663,1889,35.1,1430,1872,76.4,847,2779,3626,1741,1219,742,391,366,1641,1676,140,103.8,102.2,97.38
Detroit Pistons,82,44,38,0.537,3976,8361,3111,7087,43.9,740,2148,34.5,1399,2095,66.8,1021,2777,3798,1594,1110,573,304,366,1557,1773,50,105.2,104.9,95.78
Portland Trail Blazers,82,44,38,0.537,3961,8622,3167,7040,45,864,2336,37,1424,1889,75.4,948,2782,3730,1748,1200,562,380,424,1782,1597,68,107.6,106.8,97.09
Chicago Bulls,82,42,40,0.512,3981,8335,3165,7170,44.1,651,1753,37.1,1354,1720,78.7,907,2889,3796,1870,1141,495,470,465,1545,1535,-121,104,105.5,96.63
Dallas Mavericks,82,42,40,0.512,4001,8388,3064,6900,44.4,806,2342,34.4,1454,1831,79.4,751,2781,3532,1813,1047,560,306,363,1595,1757,-25,105.5,105.9,95.38
Memphis Grizzlies,82,42,40,0.512,3966,8126,3019,6859,44,504,1521,33.1,1584,2024,78.3,916,2497,3413,1697,1090,724,350,469,1783,1732,-184,104.7,107,93.97
Houston Rockets,82,41,41,0.5,3966,8737,3094,6847,45.2,878,2533,34.7,1671,2407,69.4,930,2601,3531,1821,1307,821,430,404,1790,1847,16,107.3,107.3,98.44
Washington Wizards,82,41,41,0.5,3951,8534,3238,7033,46,709,1983,35.8,1349,1849,73,743,2688,3431,2005,1186,708,323,356,1708,1651,-41,104.5,105.1,99.16
Utah Jazz,82,40,42,0.488,3991,8010,2957,6593,44.9,694,1956,35.5,1402,1885,74.4,880,2665,3545,1554,1224,631,425,385,1655,1629,147,105,103.2,91.7
Orlando Magic,82,35,47,0.427,3981,8369,3242,7120,45.5,636,1818,35,1249,1649,75.7,843,2709,3552,1933,1155,673,417,448,1701,1497,-133,104.4,106,96.7
Denver Nuggets,82,33,49,0.402,3966,8355,3093,7003,44.2,656,1943,33.8,1513,1974,76.6,941,2718,3659,1858,1202,609,395,517,1723,1712,-254,104.9,108.2,96.36
Milwaukee Bucks,82,33,49,0.402,3966,8122,3145,6740,46.7,440,1277,34.5,1392,1863,74.7,858,2559,3417,1895,1247,672,475,462,1695,1600,-343,103.3,107.8,95.06
Sacramento Kings,82,33,49,0.402,3961,8740,3283,7083,46.4,660,1839,35.9,1514,2089,72.5,868,2760,3628,2009,1326,733,368,437,1676,1800,-203,105.3,107.6,100.68
New York Knicks,82,32,50,0.39,3961,8065,3022,6886,43.9,610,1762,34.6,1411,1753,80.5,850,2788,3638,1682,1099,467,466,343,1616,1520,-224,103.9,106.6,94.15
New Orleans Pelicans,82,30,52,0.366,3956,8423,3153,7040,44.8,702,1951,36,1415,1823,77.6,782,2712,3494,1818,1102,633,342,423,1713,1630,-311,104.8,108.4,97.65
Minnesota Timberwolves,82,29,53,0.354,3976,8398,3095,6668,46.4,455,1347,33.8,1753,2213,79.2,821,2587,3408,1916,1231,656,375,427,1696,1768,-290,105.4,109,96.22
Phoenix Suns,82,23,59,0.28,3941,8271,3051,7018,43.5,738,2118,34.8,1431,1905,75.1,943,2733,3676,1701,1410,632,313,449,1858,1770,-546,101.4,107.9,99.39
Brooklyn Nets,82,21,61,0.256,3951,8089,3136,6920,45.3,531,1508,35.2,1286,1699,75.7,863,2614,3477,1829,1212,627,332,430,1476,1510,-603,102.3,109.7,96.13
Los Angeles Lakers,82,17,65,0.207,3946,7982,2880,6956,41.4,639,2016,31.7,1583,2028,78.1,878,2645,3523,1478,1124,593,337,458,1662,1573,-784,100.7,110.3,96.55
Philadelphia 76ers,82,10,72,0.122,3961,7988,2970,6887,43.1,764,2255,33.9,1284,1850,69.4,777,2605,3382,1765,1343,680,495,466,1780,1571,-839,98.4,108.6,98.45
